"COMPETENCY","COURSE","MEASURE"
"Collaboration","ANTH 371","12) An oral presentation"
"Collaboration","SOCY 373","12) An oral presentation"
"Culture","AFAM 107","05) A short written report (1 to 2 pages in length)"
"Culture","ANTH 122","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","ANTH 371","06) A medium written report (3 to 9 pages in length)"
"Diversity","AFAM 107","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","ANTH 122","05) A short written report (1 to 2 pages in length)"
"Diversity","SOCY 373","06) A medium written report (3 to 9 pages in length)"
"Diversity","SOCY 225","05) A short written report (1 to 2 pages in length)"
"Self and Society","SOCY 225","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","MUSI 232","12) An oral presentation"
"Culture","MUSI 201","13) A student performance"
"Culture","MUSI 251","13) A student performance"
"Culture","THTR 219","08) A student project"
"Problem Solving","HSMG 114","08) A student project"
"Culture","HIST 331","05) A short written report (1 to 2 pages in length)"
"Culture","ARTH 312","08) A student project"
"Culture","HIST 311","08) A student project"
"Diversity","HIST 311","08) A student project"
"Natural Sciences","BIOL 286","01) A selected response exam (T/F, multiple-choice, etc.)"
"Collaboration","GMAN 425","08) A student project"
"Collaboration","PSYC 325","13) A student performance"
"Diversity","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","PSYC 325","05) A short written report (1 to 2 pages in length)"
"Problem Solving","PSYC 325","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 150","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","PSYC 325","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","MUSI 160","13) A student performance"
"Culture","MUSI 221","02) A constructed response exam (short answer, essay, etc.)"
"Culture","MUSI 271","13) A student performance"
"Communication","COMM 121","04) A standardized test"
"Communication","COMM 121","04) A standardized test"
"Communication","COMM 121","04) A standardized test"
"Communication","COMM 121","04) A standardized test"
"Communication","COMM 105","03) A pre- and post-test"
"Communication","COMM 105","12) An oral presentation"
"Culture","HUMN 240","05) A short written report (1 to 2 pages in length)"
"Culture","RELG 215","03) A pre- and post-test"
"Culture","RELG 326","03) A pre- and post-test"
"Diversity","HUMN 240","05) A short written report (1 to 2 pages in length)"
"Diversity","RELG 215","03) A pre- and post-test"
"Diversity","RELG 326","03) A pre- and post-test"
"Culture","HIST 122","12) An oral presentation"
"Culture","HIST 230","06) A medium written report (3 to 9 pages in length)"
